,mtt,mu_pt,mu_abseta,pileup,weight,nevents,N_gen,gw_pos,gw_neg
0,1446.707938843725,182.28854,0.9423828,17.0,1.0,527218.0,527218.0,527218.0,0.0
1,1945.8366172809388,182.28854,0.9423828,17.0,1.0,527218.0,527218.0,527218.0,0.0
2,2838.8432478275804,311.6158,0.20773315,19.0,1.0,527218.0,527218.0,527218.0,0.0
3,1807.3552787500344,548.3291,0.44873047,12.0,1.0,527218.0,527218.0,527218.0,0.0
4,1813.3381981158325,115.84194,1.6879883,17.0,1.0,527218.0,527218.0,527218.0,0.0
5,1343.700152300608,115.84194,1.6879883,17.0,1.0,527218.0,527218.0,527218.0,0.0
6,2028.1587558437036,229.86131,0.6945801,25.0,1.0,527218.0,527218.0,527218.0,0.0
7,1835.335913629233,229.86131,0.6945801,25.0,1.0,527218.0,527218.0,527218.0,0.0
8,2186.3713159713425,299.52017,0.11230469,22.0,1.0,527218.0,527218.0,527218.0,0.0
9,1432.6567513651348,299.52017,0.11230469,22.0,1.0,527218.0,527218.0,527218.0,0.0
10,1444.19293634364,299.52017,0.11230469,22.0,1.0,527218.0,527218.0,527218.0,0.0
11,2506.186674691262,333.86972,0.53759766,12.0,1.0,527218.0,527218.0,527218.0,0.0
12,2254.333885895454,333.86972,0.53759766,12.0,1.0,527218.0,527218.0,527218.0,0.0
13,1182.970933953067,134.40779,0.9230957,34.0,1.0,527218.0,527218.0,527218.0,0.0
14,1618.1577744395413,134.40779,0.9230957,34.0,1.0,527218.0,527218.0,527218.0,0.0
15,1167.9017092155116,134.40779,0.9230957,34.0,1.0,527218.0,527218.0,527218.0,0.0
16,2042.734487690026,278.95764,0.692749,24.0,1.0,527218.0,527218.0,527218.0,0.0
17,2336.562506420264,278.95764,0.692749,24.0,1.0,527218.0,527218.0,527218.0,0.0
18,1970.1793613578268,145.39993,0.7032471,16.0,1.0,527218.0,527218.0,527218.0,0.0
19,2596.083440240308,110.011116,0.07296753,17.0,1.0,527218.0,527218.0,527218.0,0.0
20,2475.9096250665693,110.011116,0.07296753,17.0,1.0,527218.0,527218.0,527218.0,0.0
21,2103.2695964008067,110.011116,0.07296753,17.0,1.0,527218.0,527218.0,527218.0,0.0
22,2666.93409499178,336.49127,0.64697266,26.0,1.0,527218.0,527218.0,527218.0,0.0
23,2561.498175832137,336.49127,0.64697266,26.0,1.0,527218.0,527218.0,527218.0,0.0
24,1780.328660657315,369.6627,0.5494385,21.0,1.0,527218.0,527218.0,527218.0,0.0
25,1429.586733271782,55.174934,0.27148438,17.0,1.0,527218.0,527218.0,527218.0,0.0
26,1595.2724953302964,55.174934,0.27148438,17.0,1.0,527218.0,527218.0,527218.0,0.0
27,1327.5653627795318,55.174934,0.27148438,17.0,1.0,527218.0,527218.0,527218.0,0.0
28,2068.5913436169444,177.74837,0.017803192,14.0,1.0,527218.0,527218.0,527218.0,0.0
29,2188.4208855515494,177.74837,0.017803192,14.0,1.0,527218.0,527218.0,527218.0,0.0
30,1723.3139733202545,681.2394,0.023303986,16.0,1.0,527218.0,527218.0,527218.0,0.0
31,1852.6261312875768,111.49602,0.14425659,17.0,1.0,527218.0,527218.0,527218.0,0.0
32,1309.300029916502,111.49602,0.14425659,17.0,1.0,527218.0,527218.0,527218.0,0.0
33,1070.4194231019692,111.49602,0.14425659,17.0,1.0,527218.0,527218.0,527218.0,0.0
34,2138.3935243338487,326.5883,1.2998047,33.0,1.0,527218.0,527218.0,527218.0,0.0
35,2347.187442608251,326.5883,1.2998047,33.0,1.0,527218.0,527218.0,527218.0,0.0
36,1577.082510355673,68.90023,0.3743286,18.0,1.0,527218.0,527218.0,527218.0,0.0
37,1897.582238144916,68.90023,0.3743286,18.0,1.0,527218.0,527218.0,527218.0,0.0
38,1760.0144574370058,210.90997,0.40142822,16.0,1.0,527218.0,527218.0,527218.0,0.0
39,2153.17323298014,56.943375,0.34484863,22.0,1.0,527218.0,527218.0,527218.0,0.0
40,1800.0524737226729,155.91626,1.2158203,17.0,1.0,527218.0,527218.0,527218.0,0.0
41,1424.92992189076,155.91626,1.2158203,17.0,1.0,527218.0,527218.0,527218.0,0.0
42,2041.2259035476093,256.97247,0.9641113,12.0,1.0,527218.0,527218.0,527218.0,0.0
43,454.84990200632944,256.97247,0.9641113,12.0,1.0,527218.0,527218.0,527218.0,0.0
44,1961.4720534108728,287.3928,1.1987305,19.0,1.0,527218.0,527218.0,527218.0,0.0
45,1721.6235826532727,74.45248,1.2734375,17.0,1.0,527218.0,527218.0,527218.0,0.0
46,400.7735313131109,86.6395,0.61328125,28.0,1.0,527218.0,527218.0,527218.0,0.0
47,2184.9848398474223,67.94249,1.0913086,14.0,1.0,527218.0,527218.0,527218.0,0.0
48,1877.4557827584017,239.60165,1.9289551,21.0,1.0,527218.0,527218.0,527218.0,0.0
49,1725.8404804108102,239.60165,1.9289551,21.0,1.0,527218.0,527218.0,527218.0,0.0
50,1594.3077019641364,104.59006,0.5324707,14.0,1.0,527218.0,527218.0,527218.0,0.0
51,341.72417557809706,104.59006,0.5324707,14.0,1.0,527218.0,527218.0,527218.0,0.0
52,361.200045090327,104.59006,0.5324707,14.0,1.0,527218.0,527218.0,527218.0,0.0
53,1746.6556100748876,99.51937,0.10908508,20.0,1.0,527218.0,527218.0,527218.0,0.0
54,2044.4984297319168,396.895,0.7475586,31.0,1.0,527218.0,527218.0,527218.0,0.0
55,2043.3739584037723,396.895,0.7475586,31.0,1.0,527218.0,527218.0,527218.0,0.0
56,2107.018480824208,399.6403,0.9124756,22.0,1.0,527218.0,527218.0,527218.0,0.0
57,1660.071594915137,282.66086,1.0029297,17.0,1.0,527218.0,527218.0,527218.0,0.0
58,1902.1594870195024,77.163086,0.80700684,20.0,1.0,527218.0,527218.0,527218.0,0.0
59,1405.8206217924014,77.163086,0.80700684,20.0,1.0,527218.0,527218.0,527218.0,0.0
60,1950.1210669808668,132.55867,0.56274414,34.0,1.0,527218.0,527218.0,527218.0,0.0
61,1580.439796156201,132.55867,0.56274414,34.0,1.0,527218.0,527218.0,527218.0,0.0
62,757.7648234273989,195.1713,1.2041016,22.0,1.0,527218.0,527218.0,527218.0,0.0
63,1579.9040520271428,100.71076,1.1213379,15.0,1.0,527218.0,527218.0,527218.0,0.0
64,2098.903505666556,100.71076,1.1213379,15.0,1.0,527218.0,527218.0,527218.0,0.0
65,1349.953508255577,100.71076,1.1213379,15.0,1.0,527218.0,527218.0,527218.0,0.0
66,2274.214483536253,444.32483,0.79797363,16.0,1.0,527218.0,527218.0,527218.0,0.0
67,1124.657295324821,97.33995,0.8815918,20.0,1.0,527218.0,527218.0,527218.0,0.0
68,1110.2225150252473,97.33995,0.8815918,20.0,1.0,527218.0,527218.0,527218.0,0.0
69,2299.731508324133,211.15651,0.2571411,19.0,1.0,527218.0,527218.0,527218.0,0.0
70,1267.3390887046198,211.15651,0.2571411,19.0,1.0,527218.0,527218.0,527218.0,0.0
71,2161.899680232744,133.76917,1.5007324,25.0,1.0,527218.0,527218.0,527218.0,0.0
72,1518.6770567831493,133.76917,1.5007324,25.0,1.0,527218.0,527218.0,527218.0,0.0
73,1253.6658128810736,80.57616,0.34179688,24.0,1.0,527218.0,527218.0,527218.0,0.0
74,1987.2652090912893,80.57616,0.34179688,24.0,1.0,527218.0,527218.0,527218.0,0.0
75,1788.390476246935,55.467308,0.34387207,33.0,1.0,527218.0,527218.0,527218.0,0.0
76,1338.5494963677595,55.467308,0.34387207,33.0,1.0,527218.0,527218.0,527218.0,0.0
77,1412.686173345536,135.09993,1.2312012,37.0,1.0,527218.0,527218.0,527218.0,0.0
78,2732.877817104311,400.709,0.7513428,21.0,1.0,527218.0,527218.0,527218.0,0.0
79,2103.845613424997,400.709,0.7513428,21.0,1.0,527218.0,527218.0,527218.0,0.0
80,1100.9840954853787,68.24648,0.12631226,12.0,1.0,527218.0,527218.0,527218.0,0.0
81,1504.2503437318053,110.428955,0.3164673,10.0,1.0,527218.0,527218.0,527218.0,0.0
82,1423.52662597102,110.428955,0.3164673,10.0,1.0,527218.0,527218.0,527218.0,0.0
83,2207.849977861993,287.84335,0.030208588,18.0,1.0,527218.0,527218.0,527218.0,0.0
84,2342.086898498373,347.30786,1.2382812,27.0,1.0,527218.0,527218.0,527218.0,0.0
85,2154.272886356392,347.30786,1.2382812,27.0,1.0,527218.0,527218.0,527218.0,0.0
86,1913.2265579108096,197.74084,0.08418274,17.0,1.0,527218.0,527218.0,527218.0,0.0
87,2161.9159009565765,197.74084,0.08418274,17.0,1.0,527218.0,527218.0,527218.0,0.0
88,1739.0762171916224,229.57346,0.3803711,19.0,1.0,527218.0,527218.0,527218.0,0.0
89,1556.5834886612297,64.72237,0.05924225,29.0,1.0,527218.0,527218.0,527218.0,0.0
90,1711.0698477247292,64.72237,0.05924225,29.0,1.0,527218.0,527218.0,527218.0,0.0
91,1186.209892521838,64.72237,0.05924225,29.0,1.0,527218.0,527218.0,527218.0,0.0
92,1412.968750250178,84.91319,0.34191895,21.0,1.0,527218.0,527218.0,527218.0,0.0
93,2001.8191816530868,243.95247,0.5687256,37.0,1.0,527218.0,527218.0,527218.0,0.0
94,1999.6198965953377,243.95247,0.5687256,37.0,1.0,527218.0,527218.0,527218.0,0.0
95,1956.0329254612927,243.95247,0.5687256,37.0,1.0,527218.0,527218.0,527218.0,0.0
96,2121.560471938388,219.43748,0.22460938,18.0,1.0,527218.0,527218.0,527218.0,0.0
97,2256.9579421320177,219.43748,0.22460938,18.0,1.0,527218.0,527218.0,527218.0,0.0
98,1778.6511422557878,356.48334,0.07814026,39.0,1.0,527218.0,527218.0,527218.0,0.0
99,1298.70055251001,356.48334,0.07814026,39.0,1.0,527218.0,527218.0,527218.0,0.0
100,1788.0206705531325,69.5334,0.47747803,28.0,1.0,527218.0,527218.0,527218.0,0.0
101,1958.502114050519,69.5334,0.47747803,28.0,1.0,527218.0,527218.0,527218.0,0.0
102,1687.4299502534404,215.6917,0.031669617,20.0,1.0,527218.0,527218.0,527218.0,0.0
103,2023.613977508836,215.6917,0.031669617,20.0,1.0,527218.0,527218.0,527218.0,0.0
104,2260.064661227335,141.03557,0.16479492,18.0,1.0,527218.0,527218.0,527218.0,0.0
105,1677.683452777761,141.03557,0.16479492,18.0,1.0,527218.0,527218.0,527218.0,0.0
106,1571.9693854770048,344.98706,0.55358887,15.0,1.0,527218.0,527218.0,527218.0,0.0
107,1615.5706237230263,344.98706,0.55358887,15.0,1.0,527218.0,527218.0,527218.0,0.0
108,1095.3201903349295,88.63388,1.1394043,25.0,1.0,527218.0,527218.0,527218.0,0.0
109,1113.4968059981547,88.63388,1.1394043,25.0,1.0,527218.0,527218.0,527218.0,0.0
110,951.6448054933378,88.63388,1.1394043,25.0,1.0,527218.0,527218.0,527218.0,0.0
111,1898.5710796479812,210.13834,1.0947266,11.0,1.0,527218.0,527218.0,527218.0,0.0
112,1399.8671920401491,210.13834,1.0947266,11.0,1.0,527218.0,527218.0,527218.0,0.0
113,2698.306699039838,247.08011,1.2487793,25.0,1.0,527218.0,527218.0,527218.0,0.0
114,2087.366937849343,247.08011,1.2487793,25.0,1.0,527218.0,527218.0,527218.0,0.0
115,1574.13106513049,155.2182,1.5043945,16.0,1.0,527218.0,527218.0,527218.0,0.0
116,1258.7197990840082,107.78343,0.7050781,21.0,1.0,527218.0,527218.0,527218.0,0.0
117,2369.635106055316,195.00282,0.505249,12.0,1.0,527218.0,527218.0,527218.0,0.0
118,1635.4242504620424,508.6283,1.1611328,21.0,1.0,527218.0,527218.0,527218.0,0.0
119,1792.8292344305194,55.120686,0.07417297,16.0,1.0,527218.0,527218.0,527218.0,0.0
120,1738.628606254814,55.120686,0.07417297,16.0,1.0,527218.0,527218.0,527218.0,0.0
121,2992.1713522692253,58.76069,0.1489563,20.0,1.0,527218.0,527218.0,527218.0,0.0
122,2137.405754478942,58.202206,0.13198853,30.0,1.0,527218.0,527218.0,527218.0,0.0
123,1953.128513150752,58.202206,0.13198853,30.0,1.0,527218.0,527218.0,527218.0,0.0
124,1999.909993566412,162.01965,0.993042,23.0,1.0,527218.0,527218.0,527218.0,0.0
125,1856.4807535310283,162.01965,0.993042,23.0,1.0,527218.0,527218.0,527218.0,0.0
126,2618.5134502046803,493.12476,0.60498047,27.0,1.0,527218.0,527218.0,527218.0,0.0
127,2304.5727586159683,85.84664,1.2294922,19.0,1.0,527218.0,527218.0,527218.0,0.0
128,1391.850315443787,94.30813,0.019737244,25.0,1.0,527218.0,527218.0,527218.0,0.0
129,1036.324994671217,68.857346,1.2375488,16.0,1.0,527218.0,527218.0,527218.0,0.0
130,2136.294725657923,319.5787,0.52319336,17.0,1.0,527218.0,527218.0,527218.0,0.0
131,2157.8537112948243,319.5787,0.52319336,17.0,1.0,527218.0,527218.0,527218.0,0.0
132,1703.9019886897263,319.5787,0.52319336,17.0,1.0,527218.0,527218.0,527218.0,0.0
133,1687.6091373721215,144.86287,0.36676025,21.0,1.0,527218.0,527218.0,527218.0,0.0
134,1858.5389541606808,144.86287,0.36676025,21.0,1.0,527218.0,527218.0,527218.0,0.0
135,1681.798200654781,84.59026,0.5201416,24.0,1.0,527218.0,527218.0,527218.0,0.0
136,1484.0014478850396,84.59026,0.5201416,24.0,1.0,527218.0,527218.0,527218.0,0.0
137,1703.079107105152,63.834984,0.3949585,20.0,1.0,527218.0,527218.0,527218.0,0.0
138,1325.622472164124,63.834984,0.3949585,20.0,1.0,527218.0,527218.0,527218.0,0.0
139,1904.0992663761376,71.325714,0.46826172,18.0,1.0,527218.0,527218.0,527218.0,0.0
140,1944.2097931556032,65.47351,0.72473145,15.0,1.0,527218.0,527218.0,527218.0,0.0
141,1567.4523029572283,65.47351,0.72473145,15.0,1.0,527218.0,527218.0,527218.0,0.0
142,2066.223713615137,184.45798,0.031326294,16.0,1.0,527218.0,527218.0,527218.0,0.0
143,1776.8430217252485,184.45798,0.031326294,16.0,1.0,527218.0,527218.0,527218.0,0.0
144,1780.4278928180368,106.89657,1.7045898,16.0,1.0,527218.0,527218.0,527218.0,0.0
145,1851.4463250455435,106.89657,1.7045898,16.0,1.0,527218.0,527218.0,527218.0,0.0
146,1347.042893815192,106.89657,1.7045898,16.0,1.0,527218.0,527218.0,527218.0,0.0
147,1798.445869205297,248.97107,0.6627197,23.0,1.0,527218.0,527218.0,527218.0,0.0
148,2048.1425735557546,248.97107,0.6627197,23.0,1.0,527218.0,527218.0,527218.0,0.0
149,1420.866165192875,248.97107,0.6627197,23.0,1.0,527218.0,527218.0,527218.0,0.0
150,1645.8087475358438,90.4315,0.012145996,16.0,1.0,527218.0,527218.0,527218.0,0.0
151,1615.0486744507164,90.4315,0.012145996,16.0,1.0,527218.0,527218.0,527218.0,0.0
152,2021.6643649263845,160.85165,0.3876953,21.0,1.0,527218.0,527218.0,527218.0,0.0
153,1732.1458034219422,160.85165,0.3876953,21.0,1.0,527218.0,527218.0,527218.0,0.0
154,792.0858513780644,213.19586,1.6809082,15.0,1.0,527218.0,527218.0,527218.0,0.0
155,2604.5662382369305,476.66592,1.5983887,19.0,1.0,527218.0,527218.0,527218.0,0.0
156,2494.6783398874336,476.66592,1.5983887,19.0,1.0,527218.0,527218.0,527218.0,0.0
157,1728.0170597679426,78.28269,0.13146973,21.0,1.0,527218.0,527218.0,527218.0,0.0
158,2118.412748470391,78.28269,0.13146973,21.0,1.0,527218.0,527218.0,527218.0,0.0
159,1379.4048303985542,243.29865,0.72021484,20.0,1.0,527218.0,527218.0,527218.0,0.0
160,1835.056278797832,185.10959,0.4072876,11.0,1.0,527218.0,527218.0,527218.0,0.0
161,1679.4253603767977,185.10959,0.4072876,11.0,1.0,527218.0,527218.0,527218.0,0.0
162,2505.294287979704,329.72372,0.9941406,20.0,1.0,527218.0,527218.0,527218.0,0.0
163,1687.1966773494726,188.37723,0.51953125,13.0,1.0,527218.0,527218.0,527218.0,0.0
164,1578.8293322629045,213.54422,1.458252,32.0,1.0,527218.0,527218.0,527218.0,0.0
165,2006.571286724052,64.73233,0.91711426,17.0,1.0,527218.0,527218.0,527218.0,0.0
166,1835.5248466052367,135.37141,0.030029297,25.0,1.0,527218.0,527218.0,527218.0,0.0
167,1439.9634876479602,135.37141,0.030029297,25.0,1.0,527218.0,527218.0,527218.0,0.0
168,1799.0635827809888,287.2949,0.02773285,15.0,1.0,527218.0,527218.0,527218.0,0.0
169,1551.2675970607197,287.2949,0.02773285,15.0,1.0,527218.0,527218.0,527218.0,0.0
170,1557.08915579519,97.80785,0.025882721,27.0,1.0,527218.0,527218.0,527218.0,0.0
171,1384.4858857602374,58.857224,0.072280884,41.0,1.0,527218.0,527218.0,527218.0,0.0
172,1264.3997543430944,104.3813,0.46289062,10.0,1.0,527218.0,527218.0,527218.0,0.0
173,1014.8708702545118,104.3813,0.46289062,10.0,1.0,527218.0,527218.0,527218.0,0.0
174,2028.5162158031,104.36634,0.13381958,28.0,1.0,527218.0,527218.0,527218.0,0.0
175,1212.259466596703,104.36634,0.13381958,28.0,1.0,527218.0,527218.0,527218.0,0.0
176,1834.8674056363625,184.0684,0.4031372,22.0,1.0,527218.0,527218.0,527218.0,0.0
177,3055.1260875681146,479.07086,0.067337036,24.0,1.0,527218.0,527218.0,527218.0,0.0
178,2036.7196134203225,479.07086,0.067337036,24.0,1.0,527218.0,527218.0,527218.0,0.0
