mtt,mu_pt,mu_abseta,pileup,weight,nevents,N_gen,gw_pos,gw_neg
1073.5586962454229,164.83824,0.5551758,30.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
948.922401017573,164.83824,0.5551758,30.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1522.8388740806174,62.8019,0.72888184,36.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1268.925189652196,62.8019,0.72888184,36.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1274.2616775561014,62.8019,0.72888184,36.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1228.3982576340447,62.8019,0.72888184,36.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
2416.7383776620086,107.21005,0.74609375,19.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
451.602786090556,107.21005,0.74609375,19.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
815.312396636497,133.1108,0.0129776,19.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
819.681094969911,133.1108,0.0129776,19.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1469.8271729067696,71.95507,0.7039795,27.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
491.03588114915743,71.95507,0.7039795,27.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
465.6521698063122,71.95507,0.7039795,27.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
729.8726498589974,107.321625,1.1066895,17.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
2081.518412528563,118.57808,1.4460449,21.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
744.8085432094448,60.48831,0.3248291,12.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
634.2992946553612,60.48831,0.3248291,12.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
923.9061878491739,96.72225,0.044509888,29.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1367.9078319484252,105.389114,0.6854248,30.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1123.7069359310904,105.389114,0.6854248,30.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
653.8170889300912,270.53854,0.21658325,23.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
977.9499005226422,270.53854,0.21658325,23.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
548.2342975070324,270.53854,0.21658325,23.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
918.3529649763917,74.12418,0.27630615,22.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
794.7342091505143,57.593563,0.5562744,22.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
732.1734722982511,130.00108,0.12869263,16.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
910.9217949175531,130.00108,0.12869263,16.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1822.9820012802725,81.68753,0.1821289,22.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1410.7509035759085,81.68753,0.1821289,22.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1555.1221729187193,81.68753,0.1821289,22.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1211.9552916479906,81.68753,0.1821289,22.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
714.4746805104019,101.44223,0.2682495,15.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
542.6011414112022,101.44223,0.2682495,15.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1452.4800069194164,129.96594,0.08432007,17.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1479.9351052237203,129.96594,0.08432007,17.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1482.0575993997536,111.944336,1.1916504,24.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1119.2348019340218,111.944336,1.1916504,24.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
1702.7837080496192,129.75552,2.2763672,28.0,303.3580017089844,777000.0,770764.0,773882.0,3118.0
